STT,CLASS NAME,MAJOR,NUMBER OF STUDENT,YEAR
1,20CTT1,Cong nghe thong tin,30,2020
2,20CTT2,Cong nghe thong tin,30,2020
3,20HOH1,Hoa hoc,30,2020
4,20SHH1,Sinh hoc,30,2020
5,20TTH1,Toan hoc,30,2017
6,21HOH1,Hoa hoc,30,2021
7,21CTT1,Cong nghe thong tin,30,2021
8,21CTT2,Cong nghe thong tin,30,2021
9,21SHH1,Sinh hoc,30,2021
10,21TTH1,Toan hoc,30,2018
11,22CTT1,Cong nghe thong tin,30,2022
12,22CTT2,Cong nghe thong tin,30,2022
13,22HOH1,Hoa hoc,30,2022
14,22SHH1,Sinh hoc,30,2022
15,22TTH1,Toan hoc,30,2022
